2;familyfinance;app crash when change view by in report section;-560313656;[-279572, -712242734, -560313656]
2;familyfinance;"when the user changes the appearance of the report from ""view value"" to ""use percent value"" this application will crash and stop working";;[-279572, -712242734, -560313656, -202690905, 1736171683, 293258009, -1380629247, -497691521]
2;familyfinance;see errors;;[-1483261479, -202690905, 1736171683, 293258009, -1380629247, -497691521]
8;trickytripper;NPE on create payment;1084950948;[1084950948, -593025764, 23350747, 1714901477]
10;files;FTP server restarted if app is killed after stopping it;;[-1615038563, 686380472, -323297891, -1104221283, 1740968542, 168467756, -894311662, -237225969, -605301544, -295536942]
10;files;Server restarts by its own.;;[2127973172, 127149143]
18;calendula;Can't open the add/remove medicine stock dialog;;[-1159355792, -298326862, -1619725376, 658595597, -326888783, -1825972377, -1829050599, 778872844, 325361798, 276134239, 1939648964, -930262921, 394100100, 1565867769, 1148177265, -1939629035, 2137298203, -96601036, -1804378310, -267842009, 153059599, -310613521, 1976729004, 1203681996, 411379245, -1257720460]
18;calendula;I get kicked back to the medicine screen.;658595597;[-326888783, -1159355792, -298326862, -267842009, -1619725376, 658595597, 2137298203, -1825972377, 1565867769, 394100100, 1052397577, -1984062574, 333781708, -277476192, 325361798, -96601036, -1804378310, 778872844, -1359851459, -1257720460, -324056201, 1939648964, -1545145486, -930262921]
19;streetcomplete;cursor jumps before housenumber when adding letter;;[-1782712419]
19;streetcomplete;"3. the cursor jumps before the number, so when you insert ""a"" you have ""a10"" instead of ""10a"" expected behavior";;[310092797]
21;atimetracker;Long press on a task does not show the task menu.;-697343002;[988926405, 1757884450, -1422458109, -697343002, 1741857654, 577549777]
21;atimetracker;"Empty meny shown called ""activities menu"".";-697343002;[-1422458109, -1023780967, 988926405, 1757884450, -697343002, 1741857654, 577549777]
44;omninotes;Tag text removal bug by using checkbox;-2142231540;[-1153924928, -2142231540]
44;omninotes;Tag text removal bug;-2142231540;[-1153924928, -2142231540]
44;omninotes;It seems like it will remove all tags with the same header as the deleted tag.;;[1454100765]
53;markor;New file dialogue always says Type: Markdown rather than previous type used;-1236146120;[-1236146120, 1740951905, -1407938635, 913259145, -334841365, 814378965, 1665183305, -224860639, -1616332602, -952885783, 649084109, 873691881, 1593561585, -219734076, 587060911, -1040680053, -651688056, 1128654911, 1070889027, -1656114299]
53;markor;This appears to be a cosmetic issue only - the second new file is named something.todo.txt, so the app is correctly remembering the user's last settings, but nonetheless it looks odd and confusing to the user.;-1236146120;[-219734076, 587060911, -1236146120, 1740951905, -1407938635, 913259145, -334841365, 814378965, 1665183305, -224860639, -1616332602, -952885783, 649084109, 873691881, 1593561585]
71;kiss;Favorites bar doesn't appear under specific UI settings;-106012129;[965936953, -855468870, -106012129]
71;kiss;After updating to a newer version of KISS launcher, I am no longer able to make the shortcut bar appear.;-106012129;[-1128467270, 1134705586, 1479300588, -855468870, -106012129, -964276521, 1927650540, -1704205819]
71;kiss;"The cause seems to be the ""Hide favorites bar initially"" setting.";-106012129;[-855468870, 965936953, -106012129, -1121002403, 312388574, -1704205819, 1927650540, -964276521, 1429064827, -1949905769, -1128467270]
71;kiss;When enabled, the favorites bar will not appear when I try to tap on the screen.;-106012129;[965936953, -855468870, -106012129, -1128467270, 312388574, 1134705586, 1479300588, 1927650540, 1429064827, -1949905769, 1037581905, 411379245, -1704205819, -964276521]
71;kiss;When disabled, the favorites bar will stay present and not disappear until the search bar or the KISS button is pressed.;;[965936953, -855468870, -106012129, -1121002403, 312388574, 1927650540, -2029754607, 1134705586, 1479300588, -247838166, -984565376]
71;kiss;5. Check home screen to see there is no favorites bar, even after tapping the screen.;;[965936953, -855468870, -1704205819, 1927650540, -964276521, 1429064827, -1949905769, -106012129, 947005092, 471498532, 1369862634, 1134705586, 1479300588, -1121002403, 312388574, -1128467270, -247838166, -984565376, 1037581905, 411379245, -2029754607]
117;openfoodfacts;Space increase on refresh in Nutrition Facts tab;2132718311;[2132718311, 1507374999, -1796134774]
117;openfoodfacts;Refreshing also changes the space between each row of nutritional value.;2132718311;[2132718311, 1507374999, -1796134774]
128;andotp;Switching language is not working.;310762316;[1123364771, 421220100, 310762316]
128;andotp;The app is falling back to english;310762316;[1123364771, 421220100, -275021217, 310762316, -1941076176, -1902628292, 819416968]
129;andotp;App crashes if incorrect secret is entered;1336926763;[1336926763, 1963496643, -433330723, -814992739, -1800022721, -2026261193, 788496362, 1921203520, -1941076176]
129;andotp;App crashes.;1336926763;[-433330723, 1790211307, -1800022721, 1336926763, 1963496643, -844657592, -985174723, 338559388, 1066410809]
130;andotp;"Onboarding issues: Third ""Let's get started"" slide show the wrong encryption method";-29424041;[296209340, -1655279270, 551248244, 1868556809, -29424041, 1943344404]
130;andotp;"The dropdown on the third slide has ""None"" and ""Device credentials"" greyed out, so I guess the text is just a UI bug.";-29424041;[551248244, 1868556809, -29424041, -1655279270, 1943344404, 296209340, -848835706, -4579056, -1889988888, -12311807, 1547196951, -1211169822, 558199314, -895708136, -1482045844, -844657592]
130;andotp;"I went back to the second slide and double checked, it still says ""Password / PIN"".";-29424041;[551248244, 1868556809, -29424041, -848835706, -1655279270, 1943344404, -433330723, -4579056, -844657592, 296209340]
135;commons;"When clicking on a category in night mode, the app does not show the ""Parent Categories"", there's a blank space instead.";;[1328668945, 1539480499, -1582395982, 1731583989, 1539747878]
191;anuto;Negative Credits;;[]
201;inaturalist;Snackbar Disappears During Auto-Upload;;[]
201;inaturalist;"Notice the ""Resume"" button and snackbar are present for a few seconds and then disappear.";;[997195766, 1251308988, -723411255, -945138753, -1048370028, -662892222, -1390366680, -1480080935, 79075596, 703959228, 1762318050, -140418902, -1746050054, 1372499404, -1088655810, 654944037, -1650679170, 1467330189, 468611244, 1756348404, 825874110, 1262817961, -756748975, 243702107, -2064781387, 2113314753, 1172925156, 1976194641, 1374435877, 233105557, -1183429013, -967462873, 1405188353, -461442143, 304902601, 2146536984, -681519727, 1006555586, 1703677146, -209502264]
201;inaturalist;"The obs are left in ""Waiting to Upload..."" state without a way to upload them.";;[703959228]
201;inaturalist;Even going to other sections of the app and coming back to not initiate uploads.;;[654944037, -1390366680, -2064781387]
206;gnucash;Timestamp 0 when never exported.;;[-610046830, -1081298623, 689907738, -1756769548, -1705520599, 1173192380, -343648068, -496415038, -1606718985, -1294931745, -185342818, 810114053, -247925363]
206;gnucash;Last exported: 1970-01-Ã 1 01-00-00.0;;[689907738, -1081298623, -496415038, -1294931745, 810114053, -1756769548, -1705520599, 1173192380, -343648068, -1606718985, -185342818, -610046830, -247925363, 1131629336]
209;gnucash;Bug: Long pressing the amount input brings up QWERTY keyboard;957754428;[-1281309523, 957754428]
256;gnucash;App crashes when trying modify account if default transaction account no longer exist.;964742698;[1131629336, 1621373686, 1741211912, -1281309523, 957754428, 1621043368, -1331773333, 1279518793, 901988074, 1916256422, 964742698]
256;gnucash;5. Modify account B, crash occurred.;964742698;[1621373686, 1741211912, 1916256422, 964742698, 1131629336, -752978693, 901988074, -1440257390, 688085900, -1837647002, 1621043368, 1279518793, -791432326, 526038361, -723413860, -1281309523, 957754428, -1792940466, 188575990, 1432198947, 1571837209, 1876788317, 689907738, -673443983]
256;gnucash;App crashed.;;[-752978693, 1621373686, -1281309523, 957754428, 1741211912, -1331773333, 1876788317, 689907738, 901988074, 526038361, -20135598, 1011349096, 1432198947, -1613178184, 1131629336, 1571837209, -1792940466, -1440257390, 688085900, -1837647002, 1621043368, 188575990, 1142416241, -773509467, 1006317146, -1907569676, -834669900, 1279518793, -791432326, -673443983, -723413860, 965257090, -2044792243]
1066;focus;URL bar text sometimes cleared when pressing near url bar;1770584443/23795554;[1398636114, 1974133576, -442569039, -501618496, -186351645, 1770584443, 23795554, -743455245, 1258769118, -345696266, -525582697]
1066;focus;Text clears;;[1398636114, 1974133576, -442569039, -501618496, -345696266, 1258769118, -743455245]
1067;focus;Home screen tips toggle improperly indented;;[656287931]
1067;focus;"""Show homescreen tips"" is indented";;[656287931, -656716832, 247337066]
1073;focus;Your Rights license link broken;170813981;[-838022452, 746008261, 507499484, -689566511, -565685927, 1674736184, 170813981, 1822404063, -743455245, -968705309, 1702998162, -1755244102, -182789899, 432101567, 1682147162, 205458885, -750312927, -1908308288, 1079462080, 404012031, -485570744, 1804101879, 1949805115, -950981176, -2142934620, 873461252, -823490780, 663602503, 1785796694, 539166673, 1962841427, 1872490762, 275463969, 372093202, -1498865330, 1316636833, -1497962845, -442988363, 1228382645, -352657183, -1512985393, 2066798753]
1073;focus;Nothing;;[]
1096;inaturalist;Going back while recording sound causes endless loading (or crash);;[]
1096;inaturalist;Record the sound, press done, and endless Loading screen.;;[]
1096;inaturalist;When I try to replicate given the steps above (on a Pixel 3), I just get a crash immediately after tapping the back button in the left side of the header.;;[215502003, 1039298751, -1928008312, -1724378211, -1760072049, -1489043016, -1448490313, -1982712176, -381979629, -2042643788, -1160569596]
1145;gpstest;Can't enter negative sign for lat/lon/alt in Accuracy view;;[-1050057631]
1145;gpstest;In Accuracy view, if you type a negative sign into the latitude, longitude, or altitude text boxes, nothing happens (no negative signs are added).;;[-1011036636, -1050057631]
1145;gpstest;Nothing appears in the text box;;[-1336808902, -1050057631, -415555190]
1146;gpstest;Stopping GNSS should clear filter text;;[-1757099570, 490981373]
1146;gpstest;Stopping GNSS should clear the current filter text.;;[-1757099570, 490981373]
1146;gpstest;"Currently, the previously displayed text remains, which shows something like ""Showing 9 of 15 satellites (show all)""";;[-1050057631]
1146;gpstest;Filter text is still visible;;[]
1147;gpstest;Nav drawer selection color for dark theme isn't right;;[-1697176963, 297018762, 307107753, -834424186, 1239368559, 1378426776, 745277332]
1147;gpstest;"The current selection color for the navigation drawer selected item (e.g., ""Status"" when the status screen is shown) should be darker - it's currently not set as part of the Dark theme (i.e., navdrawer_background_color_selected_dark isn't used).";;[307107753, 297018762, -834424186, 1239368559, 1378426776, 745277332, -1697176963]
1147;gpstest;This boils down to trying to set the Theme/Style dynamically on the layout for the nav drawer item, and I haven't gotten this working yet.;;[307107753, 297018762, -834424186, 1239368559, 1378426776, 745277332]
1147;gpstest;The lighter navdrawer_background_color_selected_light color is used for the selected item;;[-1697176963]
1149;gpstest;"Update Help for Status to say ""estimated"" horizontal/vertical accuracy";;[]
1149;gpstest;"As mentioned in #320 (comment), the new ""E"" for horizontal/vertical accuracy isn't explained in the Help text.";;[]
1149;gpstest;"""E"" does stand for ""estimated"" in the context of horizontal and vertical error.";;[]
1149;gpstest;"I added this when I added the ""Accuracy"" feature to GPSTest to try and differentiate between the actual and estimated accuracy values.";;[20659805, 1066351974]
1149;gpstest;In other words, I didn't want someone to set a ground truth value in Accuracy and then come back to Status and think that real accuracy was being displayed in Status.;;[]
1149;gpstest;Confusion between estimated and actual accuracy is a huge problem and this was my small attempt in a limited timeframe to address it.;;[20659805]
1149;gpstest;"No ""E"" explanation";;[]
1151;gpstest;Current application of Dark and Light theme is confusing;-1697176963;[-1697176963]
1151;gpstest;When you switch from Light to Dark theme or Dark to Light by checking/unchecking the checkbox in Settings, the theme is immediately applied to the Preferences Activity, and in the process the main GpsTestActivity is finished so the user doesn't return to that Activity after exiting the Preferences Activity and see it with the old theme.;-1697176963;[-1697176963, 1994917440]
1151;gpstest;However, this is confusing from the user's perspective, as they expect to see the main GpsTestActivity when leaving the Preferences Activity.;;[]
1151;gpstest;The main GpsTestActivity disappears without any info message saying why.;;[1994917440]
1152;gpstest;Help text is cut off;;[]
1152;gpstest;"The ""Help"" text is currently cut off:";;[-2061426090]
1152;gpstest;"Help text cuts off in the middle of ""Acc""";;[]
1202;createpdf;[Filter Images] Toast to save current is displayed even when image is saved;164409849;[1008357753, 164409849, 407006394, -1690755307, 2076398666, -1367653235]
1202;createpdf;The toast is displayed Save current first;164409849;[1008357753, 164409849]
1205;createpdf;Back button leads to Home Fragment when orange file selector is still open;8.6691E-20;[983842805, 1370192137, 1606545061, 1623941262, 1302859932, 1147101616, -1598513397, -1441314785, 731389087, -216144461, -139828205, 465222243, -850451593, 878141580, 940040232, 2057626940, 933614059, 2134728712, 1556353114, -1484946717, 128976574, -1480085370, 1242405047, 1511193977, -331770451, -1345464740, -2115054758]
1205;createpdf;The back button leads to the Home Fragment.;;[2057626940, -331770451, 1511193977, 1623941262, 128976574, 1556353114, -1484946717, -1480085370, 2134728712, 1242405047, -512775081, 2109676119, -772960316, 1401011583, 878141580, 940040232, 983842805, 1370192137, 1302859932, 1147101616, -1598513397, -1441314785, 731389087, -216144461, -850451593, 465222243, -1345464740, -2115054758, -843882151, -214812581]
1207;andotp;App crashes due to invalid values being processed;;[]
1207;andotp;"When entering an invalid value (empty or ""0"") in the ""Advanced Options"" section when manually entering details, the app crashes.";-1486269566;[385581253, -1486269566, -1871660688, 290795441]
1207;andotp;"This seems to be due to conversion of """" (empty string) to number or a division by 0 (when value is 0).";;[]
1207;andotp;"This happens for both, the ""Period"" and ""Digits"" fields.";-1486269566;[-1486269566]
1207;andotp;App crashes.;-1486269566;[290795441, 385581253, -1486269566, -1871660688, -1040369295, -25744001, 1525433131, -1613526740, 1741816839, -34661273, 883355172]
1214;andotp;"Confirmation field doesn't react to ""show password"" option when setting password/PIN the first time";-1960858024;[-1960858024, -938442336]
1214;andotp;The confirm password field doesn't show password/PIN.;-1960858024;[-1960858024, -938442336]
1215;andotp;Crash when entering too large of a number in manual entry dialog;;[]
1215;andotp;The application crashes.;;[-1960858024]
1215;andotp;This would probably never occur during normal usage, but it's an easy fix so I'll put a PR up.;;[]
1223;gnucash;Split memos disappear;;[-1281309523, 957754428]
1223;gnucash;Split do not have their memos anymore.;;[]
1224;gnucash;When an account is edited, its color is lost;;[1621373686, -1466173413, 1741211912, -1440315232, -516566263, -1184413630]
1224;gnucash;The color is unset.;;[-1184413630]
1226;gnucash;App crashes after creating account with BYN currency;;[-1613178184, 1621373686, 1741211912, 1838093861, -1281309523, 957754428, 901988074, -1440257390, 688085900, -1837647002, 1621043368, 1279518793, -791432326, 526038361, -723413860, 1131629336, -1331773333, 1571837209, -1792940466, 188575990, 1876788317, 689907738, 1432198947, -673443983]
1226;gnucash;3. App crashes;;[-752978693]
1226;gnucash;4. Any further attempts to start the app cause crashes;;[-752978693]
1299;fieldbook;[BUG] Crashes in Collect after importing field_sample.csv;;[-1607635098]
1299;fieldbook;Following exception occurs after importing a sample csv, going to Collect, and pressing the +1 button.;;[-1607635098, 973007465, -179474760, -499315508]
1399;phimpme;redundant camera dialog;;[1064895591, 1880603993, 306336189]
1399;phimpme;after resetting the settings, a dialog appears while opening up the camera settings for the first time which navigates to the camera.;;[1064895591, 1880603993, 306336189, -1544837703, -2142509981, 2041389762, 1365085226, -763684107, -1218922637, 2046824320, 1097767127, -1985862125]
1406;phimpme;Favourite photos edit option issue.;-1218922637;[-2142509981, 2041389762, 1365085226, -763684107, -1218922637, 1097767127, -1985862125, 306336189, -1544837703, 1064895591, 1880603993, 2046824320]
1406;phimpme;Suppose the user opens an image in the favourite collection and clicks on the edit option, then aborts the edit operation and slides to the next image and again clicks on the edit option, then the previous/first image opened for edit operation is displayed instead of the presently selected image.;-1218922637;[-2142509981, -1218922637, 1097767127, -1544837703, -1985862125, 2041389762, 1365085226, -763684107, 1064895591, 1880603993]
1430;fastnfitness;Crash after deleting a program that is in progress;;[1187211466, 679683959, -1589521620, -1354370410, 229552544, 1964956963]
1430;fastnfitness;"If you start a program, then go to delete it without first stopping it, then the next time you go back into ""Workout"" the application will crash.";;[1187211466, 679683959, -1589521620, -1354370410, 229552544, 1964956963]
1430;fastnfitness;It will be stuck in a crash loop.;;[]
1430;fastnfitness;The application will crash.;;[1187211466, 679683959, -1589521620, -1354370410, 229552544, 1964956963]
1441;anglerslog;Issue manually entering fishing spot coordinates;;[1883195044, -200778862, 1137025737, 228766275, -1830670926, -158951797, -1453495257, 1200966851, -1446721397, 1351759665, 1772177195, -1811492214, 2025721266, -778969071]
1441;anglerslog;"If the ""sync"" icon isn't clicked after manually entering coordinates, the fishing spot's coordinates aren't updated accordingly.";-200778862;[1883195044, -200778862, 1137025737, 228766275, -1830670926, -158951797, -778969071, -1811492214, 1351759665, -1453495257, 1772177195, 1200966851, 2025721266, -1446721397]
1441;anglerslog;5. In the edit location screen the coordinates are not correct;;[1137025737, 228766275, -1830670926, -158951797, -778969071, -1811492214, 1351759665, -1453495257, 1772177195, 1200966851, 2025721266, -1446721397, -1018982399, 1870772398]
1445;anglerslog;Can't edit dates for a Trip;;[1124699652, 243072767, 1178099871, -1905517278, -1971657060, 392268087, 269484150]
1445;anglerslog;Observe error;;[]
1481;hex;Back behaviour broken for Article WebView;;[]
1481;hex;Observe the the user is taken back to the front page rather than navigating back a page in the WebView.;;[-413781993, -2082183700, 2058840954, 1028017515, 1591687296, 1749085601, -1113164473, -1238231317, -1213887590, 1391426163, 1626349436, -120986377, 2115987634, 467273710, -1284378687, 263816753, -1037184607, 1048455624, 1724606522, 802852864, 1609762262, 1866997953, 1895868690, 1278777170, -790530421, 1253971762, 1515396960, -107475707, -1599699714, -395651695]
1645;trainerapp;Crash in Add Exercise Dialog;;[-1459546650, 1799579967, 1295846135]
1645;trainerapp;App crashes if the user checks the Angle Box in the Add Exercise Dialog.;;[-1459546650, 1799579967, 1295846135]
1645;trainerapp;6. See the Error;;[]
